symbol,entry_date,exit_date,predicted_return,actual_return,success,days_held
ACROUD,2024-03-01,2024-03-31,3.7832341460458703,0.23026955602537008,True,30
AGES B,2024-03-01,2024-03-31,3.6331588061666356,0.015850602409638644,True,30
AAK,2024-03-01,2024-03-31,0.2701356836405215,0.1386831858407081,True,30
ACROUD,2024-04-30,2024-05-30,3.422424429006585,-0.007141393442623057,False,30
8TRA,2024-04-30,2024-05-30,1.5902606936805115,0.018691080909849667,True,30
ADDV B,2024-04-30,2024-05-30,0.2632248102315354,0.11480586592178778,True,30
ACROUD,2024-06-29,2024-07-29,6.23988340627339,0.12178212290502802,True,30
8TRA,2024-06-29,2024-07-29,1.0422736006102549,-0.09492312581398116,False,30
ADDV B,2024-06-29,2024-07-29,0.470616643014539,-0.1236842105263158,False,30
