symbol,signal_date,exit_date,predicted_return,actual_return,fair_value,entry_price,exit_price,success,days_held,confidence
BUSER,2024-02-19,2024-05-24,0.3298969072164948453608247423,-0.1246112650000001,1.29,0.97,0.85,False,95,0.88
BUSER,2024-02-19,2024-05-23,0.3298969072164948453608247423,-0.07312640070035022,1.29,0.97,0.9,False,94,0.88
BUSER,2024-02-19,2024-05-22,0.3298969072164948453608247423,-0.027827743286350733,1.29,0.97,0.944,False,93,0.88
BUSER,2024-02-19,2024-05-21,0.3298969072164948453608247423,-0.005202068608261401,1.29,0.97,0.966,False,92,0.88
BUSER,2024-02-19,2024-05-20,0.3298969072164948453608247423,-0.04225073742461595,1.29,0.97,0.93,False,91,0.88
GATE,2024-08-23,2024-11-20,13.82142857142857142857142857,77.31391979215009,0.83,0.056,4.39,True,89,0.91
GATE,2024-08-23,2024-11-22,13.82142857142857142857142857,83.02294933355826,0.83,0.056,4.71,True,91,0.91
GATE,2024-08-23,2024-11-21,13.82142857142857142857142857,77.31419539618217,0.83,0.056,4.39,True,90,0.91
GATE,2024-08-23,2024-11-26,13.82142857142857142857142857,88.1963877426691,0.83,0.056,5.0,True,95,0.91
GATE,2024-08-23,2024-11-25,13.82142857142857142857142857,83.20125299692778,0.83,0.056,4.72,True,94,0.91
EOLU B,2024-11-25,2025-02-28,1.350272628135223555070883315,0.23502010131429216,107.76,45.85,56.7,True,95,0.59
VIDH,2024-11-27,2025-02-28,1.346405228758169934640522876,0.3026082852763809,14.36,6.12,7.98,True,93,0.84
VIDH,2024-11-27,2025-02-27,1.346405228758169934640522876,0.2209934562172384,14.36,6.12,7.48,True,92,0.84
