symbol,valuation_date,market_price,fair_value_median,fair_value_mean,fair_value_std,implied_return,valuation_signal,rate_sensitivity_score,wacc,actual_revenue,actual_margin
AAK,2025-06-11,265.6,156.0174949009916,156.93890893630558,16.787667695585707,-0.4125847330534955,OVERVALUED,4.9833335031068,0.1,45677000000.0,0.09685731646565725
AAK,2025-08-10,251.8,159.90086092583425,160.6606613263514,16.43073696962989,-0.36496878107293784,OVERVALUED,4.85696367574327,0.1,45944000000.0,0.09941918135175246
AAK,2025-10-09,248.8,160.03566541900432,160.88449607491572,16.227027544859645,-0.3567698335249023,OVERVALUED,4.85696367574327,0.1,45944000000.0,0.09941918135175246
AAK,2025-12-08,271.2,159.87563008646444,160.9038109412421,16.49915322479946,-0.4104880896516798,OVERVALUED,4.85696367574327,0.1,45944000000.0,0.09941918135175246
ABB,2025-06-11,553.2,22.676441120136733,22.768073717495355,2.1595225192531915,-0.9590086024581765,OVERVALUED,3.316240963531529,0.1,32915000000.0,0.14418125087084444
ABB,2025-08-10,637.6,23.682682291423887,23.81584766570612,2.2302919793925366,-0.9628565208729236,OVERVALUED,3.1921358667547084,0.1,33576000000.0,0.14918405262391918
ABB,2025-10-09,697.2,23.6678312537517,23.767964716666988,2.2394253503665933,-0.9660530245930125,OVERVALUED,3.1921358667547084,0.1,33576000000.0,0.14918405262391918
ABB,2025-12-08,685.8,23.654667098440342,23.770106639810532,2.235838339680054,-0.9655079219911923,OVERVALUED,3.1921358667547084,0.1,33576000000.0,0.14918405262391918
VOLV-B,2025-06-11,265.9,346.96293587785766,348.47252896041164,29.93309097217465,0.30486248919841175,UNDERVALUED,3.3689961799936357,0.1,526816000000.0,0.14040393709564197
VOLV-B,2025-08-10,288.9,321.4286877843282,323.37245780479003,33.42433339541922,0.11259497329293255,UNDERVALUED,3.646253951137926,0.1,500079000000.0,0.12987570085741323
VOLV-B,2025-10-09,268.0,321.56779894778106,323.63324384693044,33.670540871887454,0.19987984682007864,UNDERVALUED,3.646253951137926,0.1,500079000000.0,0.12987570085741323
VOLV-B,2025-12-08,296.6,286.49024189315855,288.66275997755264,30.849701564264713,-0.03408549597721333,FAIR_VALUE,3.8950974950418376,0.1,493793000000.0,0.12173277128788373
ERIC-B,2025-06-11,81.52,26.75525477004871,26.949250297615524,6.059752312320165,-0.6717952064518068,OVERVALUED,10.0,0.1,247880000000.0,0.03736575373638879
ERIC-B,2025-08-10,72.58,33.088701560968005,33.80386174181164,12.435838802111371,-0.5441071705570679,OVERVALUED,10.0,0.1,245864000000.0,0.04665842122807712
ERIC-B,2025-10-09,79.02,33.21571129489496,34.01864964861369,12.413403798434047,-0.5796543749064166,OVERVALUED,10.0,0.1,245864000000.0,0.04665842122807712
ERIC-B,2025-12-08,90.22,46.07218509994406,47.3202566922653,18.17635305930051,-0.48933512414160873,OVERVALUED,7.5520505028482985,0.1,240309000000.0,0.06836169270672511
