symbol,trap_count,avg_implied_upside,avg_actual_return
DSNO,11,18.964423642062183,-0.6093126543890558
BOAT,8,0.8802438887313528,-0.31222449065978547
ENRO,8,1.8011689019041959,-0.18611735350705944
INTRUM,6,3.477334895609669,-0.5340549340565534
DIST,5,1.7820556772482399,-0.47437603179359067
CRET,4,0.9429095005846952,-0.6780553178745614
JM,4,0.4580298966492837,-0.28220602803081035
AIK B,3,1.2431306127159696,-0.11956171138599708
ELAN B,3,0.536715503027511,-0.2916104491943646
GJAB,3,0.8223610092273773,-0.4583512387626463
EOLU B,2,0.9035064391650006,-0.2556511227858106
FASTAT,2,0.5991984935541501,-0.252097918980252
